,Frequency (Hz),Amplitude (dBm)
1025,1125000,-71.64
1026,1126000,-72.37
1027,1127000,-71.91
1028,1128000,-70.21
1029,1129000,-72.73
1030,1130000,-71.64
1031,1131000,-73.26
1032,1132000,-72.65
1033,1133000,-72.08
1034,1134000,-72.23
1035,1135000,-73.34
1036,1136000,-71.26
1037,1137000,-72.65
1038,1138000,-72.65
1039,1139000,-72.44
1040,1140000,-72.44
1041,1141000,-72.8
1042,1142000,-72.65
1043,1143000,-72.95
1044,1144000,-72.23
1045,1145000,-72.95
1046,1146000,-72.15
1047,1147000,-73.66
1048,1148000,-71.02
1049,1149000,-72.8
1050,1150000,-73.42
1051,1151000,-73.74
1052,1152000,-72.73
1053,1153000,-72.8
1054,1154000,-72.73
1055,1155000,-74.25
1056,1156000,-73.74
1057,1157000,-73.1
1058,1158000,-74.09
1059,1159000,-73.74
1060,1160000,-72.8
1061,1161000,-74.25
1062,1162000,-73.34
1063,1163000,-73.1
1064,1164000,-73.03
1065,1165000,-73.91
1066,1166000,-72.08
1067,1167000,-72.8
1068,1168000,-73.74
1069,1169000,-72.65
1070,1170000,-72.73
1071,1171000,-73.34
1072,1172000,-73.91
1073,1173000,-72.8
1074,1174000,-73.26
1075,1175000,-73.57
1076,1176000,-74.09
1077,1177000,-72.23
1078,1178000,-72.37
1079,1179000,-73.34
1080,1180000,-73.03
1081,1181000,-73.03
1082,1182000,-72.8
1083,1183000,-72.37
1084,1184000,-73.57
1085,1185000,-73.03
1086,1186000,-72.15
1087,1187000,-72.95
1088,1188000,-73.57
1089,1189000,-73.26
1090,1190000,-72.65
1091,1191000,-71.39
1092,1192000,-73.42
1093,1193000,-71.52
1094,1194000,-73.03
1095,1195000,-72.8
1096,1196000,-73.26
1097,1197000,-72.95
1098,1198000,-71.91
1099,1199000,-71.78
1100,1200000,-70.89
1101,1201000,-71.64
1102,1202000,-71.52
1103,1203000,-72.51
1104,1204000,-70.78
1105,1205000,-72.44
1106,1206000,-72.73
1107,1207000,-72.44
1108,1208000,-72.73
1109,1209000,-70.78
1110,1210000,-73.74
1111,1211000,-72.44
1112,1212000,-70.66
1113,1213000,-71.78
1114,1214000,-72.95
1115,1215000,-71.91
1116,1216000,-74.44
1117,1217000,-72.65
1118,1218000,-72.44
1119,1219000,-74.71
1120,1220000,-72.95
1121,1221000,-71.64
1122,1222000,-73.91
1123,1223000,-74.44
1124,1224000,-72.51
1125,1225000,-71.91
1126,1226000,-73.26
1127,1227000,-73.91
1128,1228000,-72.51
1129,1229000,-72.95
1130,1230000,-71.91
1131,1231000,-73.26
1132,1232000,-73.34
1133,1233000,-71.39
1134,1234000,-72.51
1135,1235000,-74.09
1136,1236000,-74.09
1137,1237000,-72.51
1138,1238000,-73.34
1139,1239000,-73.91
1140,1240000,-73.1
1141,1241000,-72.51
1142,1242000,-73.57
1143,1243000,-73.66
1144,1244000,-73.34
1145,1245000,-73.42
1146,1246000,-72.95
1147,1247000,-74.61
1148,1248000,-73.42
1149,1249000,-72.22
1150,1250000,-73.03
1151,1251000,-74.19
1152,1252000,-73.68
1153,1253000,-72.37
1154,1254000,-71.85
1155,1255000,-72.97
1156,1256000,-72.97
1157,1257000,-73.04
1158,1258000,-73.6
1159,1259000,-72.59
1160,1260000,-72.89
1161,1261000,-73.6
1162,1262000,-72.59
1163,1263000,-74.93
1164,1264000,-72.97
1165,1265000,-72.74
1166,1266000,-72.59
1167,1267000,-74.28
1168,1268000,-74.38
1169,1269000,-72.97
1170,1270000,-73.68
1171,1271000,-73.27
1172,1272000,-72.97
1173,1273000,-72.3
1174,1274000,-73.35
1175,1275000,-73.85
1176,1276000,-73.19
1177,1277000,-72.67
1178,1278000,-72.3
1179,1279000,-73.51
1180,1280000,-73.51
1181,1281000,-74.74
1182,1282000,-74.28
1183,1283000,-73.51
1184,1284000,-73.27
1185,1285000,-72.37
1186,1286000,-74.28
1187,1287000,-72.59
1188,1288000,-71.46
1189,1289000,-70.83
1190,1290000,-73.19
1191,1291000,-72.74
1192,1292000,-72.02
1193,1293000,-72.3
1194,1294000,-72.3
1195,1295000,-73.19
1196,1296000,-73.19
1197,1297000,-73.04
1198,1298000,-73.35
1199,1299000,-72.97
1200,1300000,-72.16
1201,1301000,-73.04
1202,1302000,-72.37
1203,1303000,-71.32
1204,1304000,-72.37
1205,1305000,-73.51
1206,1306000,-70.59
1207,1307000,-73.51
1208,1308000,-73.35
1209,1309000,-74.19
1210,1310000,-73.85
1211,1311000,-72.67
1212,1312000,-73.94
1213,1313000,-73.94
1214,1314000,-71.85
1215,1315000,-74.02
1216,1316000,-73.94
1217,1317000,-73.41
1218,1318000,-72.95
1219,1319000,-73.26
1220,1320000,-73.34
1221,1321000,-73.66
1222,1322000,-74.71
1223,1323000,-73.91
1224,1324000,-71.52
1225,1325000,-73.03
1226,1326000,-73.91
1227,1327000,-72.65
1228,1328000,-73.74
1229,1329000,-74.08
1230,1330000,-72.8
1231,1331000,-73.34
1232,1332000,-74.08
1233,1333000,-73.1
1234,1334000,-72.95
1235,1335000,-73.66
1236,1336000,-73.1
1237,1337000,-73.41
1238,1338000,-73.26
1239,1339000,-73.74
1240,1340000,-75.8
1241,1341000,-74.0
1242,1342000,-74.0
1243,1343000,-73.91
1244,1344000,-72.65
1245,1345000,-73.41
1246,1346000,-72.73
1247,1347000,-73.74
1248,1348000,-72.15
1249,1349000,-73.34
1250,1350000,-72.51
1251,1351000,-75.19
1252,1352000,-72.44
1253,1353000,-72.44
1254,1354000,-74.8
1255,1355000,-74.25
1256,1356000,-72.15
1257,1357000,-72.36
1258,1358000,-74.25
1259,1359000,-73.66
1260,1360000,-73.74
1261,1361000,-73.91
1262,1362000,-72.36
1263,1363000,-74.0
1264,1364000,-72.22
1265,1365000,-72.36
1266,1366000,-73.74
1267,1367000,-73.66
1268,1368000,-71.39
1269,1369000,-73.74
1270,1370000,-71.91
1271,1371000,-73.74
1272,1372000,-73.74
1273,1373000,-74.44
1274,1374000,-74.08
1275,1375000,-73.57
1276,1376000,-72.65
1277,1377000,-74.44
1278,1378000,-73.33
1279,1379000,-73.66
1280,1380000,-73.41
1281,1381000,-73.33
1282,1382000,-74.25
1283,1383000,-74.0
1284,1384000,-73.91
